
           Total tracked memory (including duplicates, so too high) = 130769712
Unity  components of total size: 86970323
    Type Network.NetManager (ID: -1752) of size 2198857
    Type UnityEngine.UI.Button (ID: -171014) of size 1637580
    Type UnityEngine.UI.Button (ID: -170394) of size 1637580
    Type UnityEngine.UI.Button (ID: -170070) of size 1637580
    Type UnityEngine.UI.Button (ID: -169852) of size 1637572
    Type UnityEngine.UI.Button (ID: -170236) of size 1637572
    Type UnityEngine.UI.Button (ID: -169962) of size 1637572
    Type UnityEngine.UI.Button (ID: -170026) of size 1637572
    Type UnityEngine.UI.Button (ID: -169874) of size 1637572
    Type UnityEngine.UI.Button (ID: -169918) of size 1637572
    Type UnityEngine.UI.Button (ID: -168930) of size 1637572
    Type UnityEngine.UI.Button (ID: -170374) of size 1637572
    Type UnityEngine.UI.Button (ID: -170384) of size 1637572
    Type UnityEngine.UI.Button (ID: -169134) of size 1637572
    Type UnityEngine.UI.Button (ID: -170200) of size 1637564
    Type UnityEngine.UI.Button (ID: -169084) of size 1637564
    Type UnityEngine.UI.Button (ID: -170642) of size 1637564
    Type UnityEngine.UI.Button (ID: -169172) of size 1637556
    Type UnityEngine.UI.Button (ID: -169678) of size 1637556
    Type UnityEngine.UI.Button (ID: -169774) of size 1637556
    Type UnityEngine.UI.Button (ID: -169514) of size 1637548
    Type UnityEngine.UI.Button (ID: -169408) of size 1637548
    Type UnityEngine.UI.Button (ID: -169722) of size 1637548
    Type UnityEngine.UI.Button (ID: -169632) of size 1637548
    Type UnityEngine.UI.Button (ID: -169250) of size 1637548
    Type UnityEngine.UI.Button (ID: -168832) of size 1637548
    Type UnityEngine.UI.Button (ID: -168822) of size 1637548
    Type UnityEngine.UI.Button (ID: -168860) of size 1637548
    Type UnityEngine.UI.Button (ID: -169216) of size 1637548
    Type UnityEngine.UI.Button (ID: -169364) of size 1637540
    Type UnityEngine.UI.Button (ID: -170356) of size 1637380
    Type ETCInput (ID: -171148) of size 1637300
    Type UnityEngine.UI.ScrollRect (ID: -206460) of size 1636968
    Type ETCJoystick (ID: -171126) of size 1636844
    Type GameClient.DoTweenTrigger (ID: -168808) of size 1636776
    Type UnityEngine.UI.Button (ID: -169288) of size 1636764
    Type UnityEngine.UI.Button (ID: -207108) of size 1636764
    Type UnityEngine.UI.Button (ID: -169326) of size 1636764
    Type UnityEngine.UI.Button (ID: -171066) of size 1636764
    Type UnityEngine.UI.Button (ID: -171086) of size 1636764
    Type UnityEngine.UI.Button (ID: -207016) of size 1636764
    Type UnityEngine.UI.Button (ID: -206764) of size 1636764
    Type UnityEngine.UI.Button (ID: -171056) of size 1636764
    Type UnityEngine.UI.Button (ID: -206680) of size 1636764
    Type UnityEngine.UI.Button (ID: -206932) of size 1636764
    Type UnityEngine.UI.Button (ID: -206848) of size 1636764
    Type UnityEngine.UI.Button (ID: -206596) of size 1636764
    Type UnityEngine.UI.Button (ID: -171076) of size 1636764
    Type TaskGuideModelArrow (ID: -226806) of size 1636124
    Type GeCameraControllerScroll (ID: -1768) of size 254326
    Type UnityEngine.UI.Toggle (ID: 109902) of size 98548
    Type UnityEngine.UI.Toggle (ID: 109908) of size 98548
    Type UnityEngine.UI.Toggle (ID: 109904) of size 98548
    Type UnityEngine.UI.Toggle (ID: 109906) of size 98548
    Type GameClient.ComCommonChapterInfo (ID: 109852) of size 98540
    Type ComCommonBind (ID: 109884) of size 98164
    Type ComCommonBind (ID: 109888) of size 98164
    Type ComCommonBind (ID: 109886) of size 98164
    Type ComCommonBind (ID: 109890) of size 98164
    Type GameClient.TitleComponent (ID: -226582) of size 87300
    Type GameClient.TitleComponent (ID: 105698) of size 64568
    Type ComDungeonFinishScore (ID: 126216) of size 59052
    Type LinkParse (ID: -207064) of size 53836
    Type LinkParse (ID: -206644) of size 53588
    Type NpcDialogComponent (ID: -224500) of size 34268
    Type NpcDialogComponent (ID: -225004) of size 33844
    Type NpcDialogComponent (ID: -224748) of size 33844
    Type LinkParse (ID: -206728) of size 33068
    Type LinkParse (ID: -206812) of size 33020
    Type LinkParse (ID: -206896) of size 33020
    Type LinkParse (ID: -206980) of size 33020
    Type GameClient.ComItem (ID: 104836) of size 32784
    Type LinkParse (ID: -224506) of size 32756
    Type LinkParse (ID: -206538) of size 32628
    Type LinkParse (ID: -225010) of size 32628
    Type LinkParse (ID: -224754) of size 32628
    Type LinkParse (ID: -170316) of size 32628
    Type NpcInteraction (ID: -224674) of size 31688
    Type NpcInteraction (ID: -224930) of size 31688
    Type UnityEngine.UI.Button (ID: -224940) of size 31668
    Type UnityEngine.UI.Button (ID: -224684) of size 31668
    Type UnityEngine.UI.Text (ID: -224694) of size 27748
    Type UnityEngine.UI.Text (ID: -224950) of size 27748
    Type UnityEngine.UI.Text (ID: -171118) of size 23436
    Type ComCommonBind (ID: 93900) of size 23264
    Type UnityEngine.UI.Text (ID: 121866) of size 23236
    Type UnityEngine.UI.Text (ID: 104810) of size 23236
    Type ComCommonBind (ID: 126266) of size 22420
    Type NewSuperLinkText (ID: -207072) of size 22180
    Type NewSuperLinkText (ID: -206652) of size 22140
    Type ComDungeonMap (ID: 118066) of size 21548
    Type UnityEngine.UI.Text (ID: 107010) of size 21204
    Type UnityEngine.UI.Button (ID: 118172) of size 20656
    Type ComDungeonScore (ID: 118174) of size 19792
    Type UnityEngine.UI.InputField (ID: 93560) of size 19542
    Type UnityEngine.UI.InputField (ID: 93516) of size 19542
    Type ComDrug (ID: 118294) of size 18212
    Type ComDrug (ID: 118296) of size 18212
    Type ComDrug (ID: 118292) of size 18212
    Type CBossHpBar (ID: 125906) of size 18208
    Type ComDrugTipsBar (ID: 118040) of size 18192
    Type DG.Tweening.DOTweenAnimation (ID: 93866) of size 17724
    Type UnityEngine.UI.Text (ID: -226616) of size 17464
    Type UnityEngine.UI.Extensions.Gradient (ID: -226652) of size 17124
    Type UnityEngine.UI.Text (ID: -206706) of size 16692
    Type UnityEngine.UI.Text (ID: -206958) of size 16676
    Type UnityEngine.UI.Text (ID: -226672) of size 16432
    Type UnityEngine.UI.Text (ID: -226626) of size 16432
    Type UnityEngine.UI.Text (ID: -226662) of size 16432
    Type UnityEngine.UI.Text (ID: -226650) of size 16180
    Type UnityEngine.UI.Text (ID: -207042) of size 15956
    Type UnityEngine.UI.Text (ID: -206790) of size 15956
    Type UnityEngine.UI.Text (ID: -206874) of size 15956
    Type UnityEngine.UI.Text (ID: -224976) of size 15904
    Type UnityEngine.UI.Text (ID: -224720) of size 15904
    Type UnityEngine.UI.Text (ID: -224474) of size 15904
    Type UnityEngine.UI.Text (ID: 93524) of size 15872
    Type UnityEngine.UI.Text (ID: -206622) of size 15860
    Type LinkParse (ID: 104646) of size 15688
    Type LinkParse (ID: 105538) of size 15688
    Type LinkParse (ID: 106096) of size 15688
    Type ComCharactorHPBar (ID: 121230) of size 15644
    Type TimeRefresh (ID: -169814) of size 15184
    Type TimeRefresh (ID: 103868) of size 15112
    Type ComRoleSlot (ID: 94158) of size 14712
    Type ComRoleSlot (ID: 94172) of size 14712
    Type ComRoleSlot (ID: 94108) of size 14712
    Type GameClient.ComChapterInfoDrugUnit (ID: 112134) of size 14628
    Type ComCommonBind (ID: 112126) of size 14572
    Type UnityEngine.UI.Text (ID: 93864) of size 14248
    Type UnityEngine.UI.Text (ID: 103864) of size 14248
    Type UnityEngine.UI.Text (ID: 118286) of size 14248
    Type UnityEngine.UI.Text (ID: 103880) of size 14248
    Type UnityEngine.UI.Text (ID: 118944) of size 14248
    Type UnityEngine.UI.Text (ID: 93612) of size 14248
    Type UnityEngine.UI.Text (ID: 105494) of size 14248
    Type UnityEngine.UI.Text (ID: 93626) of size 14248
    Type UnityEngine.UI.Text (ID: -169810) of size 14248
    Type UnityEngine.UI.Text (ID: 117986) of size 14248
    Type UnityEngine.UI.Text (ID: 105712) of size 14248
    Type UnityEngine.UI.Text (ID: 105706) of size 14248
    Type UnityEngine.UI.Text (ID: 105702) of size 14248
    Type UnityEngine.UI.Text (ID: 105714) of size 14248
    Type UnityEngine.UI.Text (ID: 118976) of size 14248
    Type UnityEngine.UI.Text (ID: 118994) of size 14248
    Type UnityEngine.UI.Text (ID: 104848) of size 14248
    Type UnityEngine.UI.Text (ID: 107736) of size 12060
    Type UnityEngine.UI.Text (ID: 107510) of size 11808
    Type ComExpBar (ID: 103360) of size 11788
    Type ComExpBar (ID: 118004) of size 11788
    Type ComChapterDungeonUnit (ID: 109586) of size 11140
    Type ComboCount (ID: 119032) of size 11068
    Type UnityEngine.UI.Text (ID: 107240) of size 11044
    Type GameClient.ComChapterInfoDropUnit (ID: 112236) of size 10728
    Type ComCommonBind (ID: 112228) of size 10672
    Type ComDungeonScoreInfo (ID: 126252) of size 10436
    Type UnityEngine.UI.Text (ID: 107672) of size 10028
    Type ETCButton (ID: 122450) of size 9748
    Type ETCButton (ID: 122244) of size 9740
    Type ETCButton (ID: 122294) of size 9732
    Type ETCButton (ID: 122386) of size 9732
    Type ETCButton (ID: 122352) of size 9732
    Type ETCButton (ID: 122510) of size 9732
    Type ETCButton (ID: 122268) of size 9708
    Type ETCButton (ID: 122440) of size 9708
    Type ETCButton (ID: 122594) of size 9708
    Type ETCButton (ID: 122686) of size 9708
    Type ETCButton (ID: 122196) of size 9708
    Type ETCButton (ID: 122304) of size 9708
    Type ETCButton (ID: 122716) of size 9708
    Type ETCButton (ID: 122726) of size 9708
    Type ETCButton (ID: 122230) of size 9708
    Type ETCButton (ID: 122186) of size 9708
    Type ETCButton (ID: 122114) of size 9708
